__________________________________________________
Iteration   Train.Loss (MSE)     Time (in sec)    
   264           0.194               0.141        
   265           0.484               0.125        
   266           0.388               0.141        
   267           0.327               0.141        
   268           0.228               0.125        
   269           0.255               0.141        
   270           0.224               0.125        
   271           0.548               0.141        
   272           0.485               0.141        
   273           0.186               0.125        
   274           0.303               0.141        
   275           0.276               0.125        
   276           0.203               0.141        
   277           0.276               0.141        
   278           0.240               0.125        
   279           0.330               0.141        
   280           0.384               0.125        
   281           0.310               0.141        
   282           0.384               0.125        
   283           0.207               0.125        
   284           0.176               0.141        
   285           0.301               0.125        
   286           0.215               0.141        
   287           0.261               0.125        
   288           0.302               0.125        
   289           0.305               0.141        
   290           0.300               0.125        
   291           0.325               0.141        
   292           0.258               0.125        
   293           0.333               0.141        
   294           0.406               0.141        
   295           0.310               0.125        
   296           0.185               0.141        
   297           0.383               0.125        
   298           0.146               0.141        
   299           0.218               0.141        
   300           0.205               0.125        
   301           0.292               0.141        
   302           0.302               0.125        
   303           0.252               0.141        
   304           0.408               0.141        
   305           0.356               0.125        
   306           0.418               0.141        
   307           0.266               0.125        
   308           0.356               0.141        
   309           0.233               0.141        
   310           0.216               0.125        
   311           0.299               0.141        
   312           0.838               0.125        
   313           0.160               0.141        
   314           0.410               0.141        
   315           0.423               0.125        
   316           0.342               0.141        
   317           0.506               0.125        
   318           0.341               0.141        
   319           0.427               0.125        
   320           0.242               0.125        
   321           0.279               0.141        
   322           0.344               0.125        
   323           0.684               0.141        
   324           0.163               0.125        
   325           0.236               0.141        
   326           0.354               0.141        
   327           0.371               0.125        
   328           0.379               0.141        
   329           0.437               0.125        
   330           0.286               0.141        
   331           0.387               0.141        
   332           0.372               0.125        
   333           0.439               0.141        
   334           0.359               0.125        
   335           0.269               0.141        
   336           0.418               0.141        
   337           0.275               0.125        
   338           0.207               0.141        
   339           0.266               0.125        
   340           0.324               0.141        
   341           0.268               0.141        
   342           0.289               0.125        
   343           0.297               0.141        
   344           0.387               0.125        
   345           0.198               0.141        
   346           0.340               0.141        
   347           0.505               0.125        
   348           0.321               0.141        
   349           0.295               0.125        
   350           0.294               0.141        
   351           0.374               0.141        
   352           0.339               0.125        
   353           0.227               0.141        
   354           0.333               0.125        
   355           0.285               0.141        
   356           0.285               0.125        
   357           0.332               0.125        
   358           0.202               0.141        
   359           0.443               0.125        
   360           0.162               0.141        
   361           0.225               0.125        
   362           0.314               0.141        
   363           0.428               0.141        
   364           0.286               0.125        
   365           0.250               0.141        
   366           0.372               0.125        
   367           0.365               0.141        
   368           0.327               0.141        
   369           0.177               0.125        
   370           0.290               0.141        
   371           0.227               0.125        
   372           0.228               0.141        
   373           0.257               0.141        
   374           0.299               0.125        
   375           0.282               0.141        
   376           0.162               0.140        
   377           0.523               0.125        
   378           0.273               0.141        
   379           0.297               0.125        
   380           0.477               0.141        
   381           0.342               0.141        
   382           0.267               0.125        
   383           0.281               0.141        
   384           0.180               0.125        
   385           0.207               0.141        
   386           0.306               0.141        
   387           0.699               0.125        
   388           0.272               0.141        
   389           0.285               0.125        
   390           0.305               0.141        
   391           0.434               0.125        
   392           0.428               0.125        
   393           0.406               0.141        
   394           0.431               0.125        
   395           0.245               0.141        
   396           0.263               0.125        
   397           0.242               0.125        
   398           0.273               0.141        
   399           0.213               0.125        
   400           0.931               0.141        
   401           0.188               0.125        
   402           0.275               0.141        
   403           0.330               0.141        
   404           0.545               0.125        
   405           0.573               0.141        
   406           0.638               0.125        
   407           0.526               0.140        
   408           0.339               0.141        
   409           0.187               0.125        
   410           0.291               0.141        
   411           0.191               0.125        
   412           0.324               0.141        
   413           0.155               0.141        
   414           0.533               0.125        
   415           0.360               0.141        
   416           0.151               0.125        
   417           0.241               0.141        
   418           0.328               0.141        
   419           0.309               0.125        
   420           0.228               0.141        
   421           0.407               0.125        
   422           0.296               0.141        
   423           0.221               0.125        
   424           0.230               0.125        
   425           0.726               0.141        
   426           0.218               0.125        
   427           0.175               0.141        
   428           0.258               0.125        
   429           0.317               0.125        
   430           0.259               0.141        
   431           0.208               0.125        
   432           0.359               0.141        
   433           0.197               0.125        
   434           0.302               0.141        
   435           0.299               0.141        
   436           0.373               0.125        
   437           0.331               0.141        
   438           0.367               0.125        
   439           0.270               0.141        
   440           0.235               0.141        
   441           0.217               0.125        
   442           0.223               0.141        
   443           0.159               0.125        
   444           0.493               0.141        
   445           0.322               0.140        
   446           0.377               0.125        
   447           0.369               0.141        
   448           0.316               0.125        
   449           0.240               0.141        
   450           0.226               0.141        
   451           0.232               0.125        
   452           0.272               0.141        
   453           0.361               0.125        
   454           0.307               0.141        
   455           0.242               0.141        
   456           0.536               0.125        
