__________________________________________________
Iteration   Train.Loss (MSE)     Time (in sec)    
   2185          0.049               0.141        
   2186          0.024               0.125        
   2187          0.020               0.141        
   2188          0.018               0.141        
   2189          0.028               0.125        
   2190          0.069               0.141        
   2191          0.025               0.125        
   2192          0.035               0.141        
   2193          0.061               0.141        
   2194          0.034               0.125        
   2195          0.061               0.141        
   2196          0.027               0.125        
   2197          0.031               0.125        
   2198          0.036               0.141        
   2199          0.036               0.125        
   2200          0.024               0.141        
   2201          0.048               0.141        
   2202          0.067               0.125        
   2203          0.043               0.141        
   2204          0.022               0.125        
   2205          0.019               0.125        
   2206          0.047               0.141        
   2207          0.024               0.125        
   2208          0.019               0.141        
   2209          0.038               0.141        
   2210          0.024               0.125        
   2211          0.044               0.141        
   2212          0.054               0.125        
   2213          0.028               0.125        
   2214          0.044               0.141        
   2215          0.032               0.125        
   2216          0.046               0.141        
   2217          0.030               0.141        
   2218          0.050               0.125        
   2219          0.030               0.141        
   2220          0.025               0.125        
   2221          0.041               0.125        
   2222          0.012               0.141        
   2223          0.030               0.125        
   2224          0.028               0.141        
   2225          0.015               0.141        
   2226          0.025               0.125        
   2227          0.035               0.141        
   2228          0.019               0.125        
   2229          0.023               0.125        
   2230          0.038               0.141        
   2231          0.033               0.125        
   2232          0.025               0.141        
   2233          0.034               0.141        
   2234          0.018               0.125        
   2235          0.024               0.141        
   2236          0.028               0.125        
   2237          0.055               0.125        
   2238          0.033               0.141        
   2239          0.027               0.125        
   2240          0.055               0.141        
   2241          0.034               0.141        
   2242          0.028               0.125        
   2243          0.022               0.141        
   2244          0.036               0.125        
   2245          0.100               0.125        
   2246          0.019               0.141        
   2247          0.061               0.125        
   2248          0.071               0.141        
   2249          0.048               0.141        
   2250          0.028               0.125        
   2251          0.035               0.141        
   2252          0.100               0.125        
   2253          0.022               0.125        
   2254          0.034               0.141        
   2255          0.048               0.125        
   2256          0.033               0.141        
   2257          0.034               0.141        
   2258          0.021               0.125        
   2259          0.032               0.141        
   2260          0.063               0.125        
   2261          0.019               0.125        
   2262          0.026               0.141        
   2263          0.032               0.125        
   2264          0.047               0.141        
   2265          0.029               0.141        
   2266          0.022               0.125        
   2267          0.050               0.141        
   2268          0.068               0.125        
   2269          0.036               0.141        
   2270          0.044               0.141        
   2271          0.039               0.125        
   2272          0.043               0.141        
   2273          0.027               0.141        
   2274          0.060               0.125        
   2275          0.020               0.141        
   2276          0.027               0.125        
   2277          0.026               0.125        
   2278          0.033               0.141        
   2279          0.024               0.125        
   2280          0.030               0.141        
   2281          0.041               0.141        
   2282          0.021               0.125        
   2283          0.025               0.141        
   2284          0.021               0.125        
   2285          0.017               0.125        
   2286          0.015               0.141        
   2287          0.022               0.125        
   2288          0.029               0.141        
   2289          0.060               0.141        
   2290          0.038               0.125        
   2291          0.033               0.141        
   2292          0.029               0.141        
   2293          0.048               0.125        
   2294          0.044               0.141        
   2295          0.020               0.125        
   2296          0.020               0.141        
   2297          0.036               0.141        
   2298          0.047               0.125        
   2299          0.028               0.141        
   2300          0.037               0.125        
   2301          0.051               0.125        
   2302          0.046               0.141        
   2303          0.029               0.125        
   2304          0.022               0.141        
   2305          0.038               0.141        
   2306          0.024               0.125        
   2307          0.030               0.141        
   2308          0.019               0.125        
   2309          0.025               0.125        
   2310          0.034               0.141        
   2311          0.031               0.125        
   2312          0.030               0.141        
   2313          0.024               0.141        
   2314          0.018               0.125        
   2315          0.038               0.141        
   2316          0.026               0.125        
   2317          0.044               0.125        
   2318          0.026               0.141        
   2319          0.059               0.125        
   2320          0.064               0.141        
   2321          0.018               0.141        
   2322          0.015               0.125        
   2323          0.049               0.141        
   2324          0.053               0.125        
   2325          0.020               0.125        
   2326          0.019               0.141        
   2327          0.056               0.125        
   2328          0.046               0.141        
   2329          0.033               0.141        
   2330          0.028               0.125        
   2331          0.034               0.141        
   2332          0.037               0.125        
   2333          0.020               0.125        
   2334          0.024               0.141        
   2335          0.039               0.125        
   2336          0.031               0.141        
   2337          0.036               0.141        
   2338          0.037               0.125        
   2339          0.024               0.141        
   2340          0.017               0.125        
   2341          0.032               0.125        
   2342          0.029               0.141        
   2343          0.021               0.125        
   2344          0.026               0.141        
   2345          0.017               0.141        
   2346          0.017               0.125        
   2347          0.028               0.141        
   2348          0.019               0.125        
   2349          0.017               0.125        
   2350          0.019               0.141        
   2351          0.022               0.125        
   2352          0.019               0.141        
   2353          0.024               0.141        
   2354          0.018               0.125        
   2355          0.016               0.141        
   2356          0.029               0.125        
   2357          0.026               0.125        
   2358          0.054               0.141        
   2359          0.028               0.125        
   2360          0.027               0.141        
   2361          0.018               0.141        
   2362          0.020               0.125        
   2363          0.021               0.141        
   2364          0.050               0.125        
   2365          0.019               0.125        
   2366          0.028               0.141        
   2367          0.037               0.125        
   2368          0.030               0.141        
   2369          0.025               0.141        
   2370          0.038               0.125        
   2371          0.020               0.141        
   2372          0.017               0.125        
   2373          0.038               0.125        
   2374          0.028               0.141        
   2375          0.049               0.125        
   2376          0.026               0.141        
   2377          0.020               0.141        
   2378          0.021               0.125        
   2379          0.031               0.141        
   2380          0.027               0.125        
   2381          0.023               0.141        
   2382          0.029               0.141        
   2383          0.031               0.125        
   2384          0.022               0.141        
   2385          0.023               0.141        
   2386          0.019               0.125        
   2387          0.022               0.141        
   2388          0.023               0.125        
   2389          0.024               0.141        
   2390          0.031               0.141        
   2391          0.027               0.125        
   2392          0.029               0.141        
   2393          0.052               0.125        
   2394          0.042               0.125        
   2395          0.031               0.141        
   2396          0.022               0.125        
   2397          0.060               0.141        
   2398          0.018               0.141        
   2399          0.029               0.125        
   2400          0.036               0.141        
   2401          0.021               0.125        
   2402          0.032               0.125        
   2403          0.019               0.141        
   2404          0.021               0.125        
   2405          0.023               0.141        
   2406          0.025               0.141        
   2407          0.021               0.125        
   2408          0.022               0.141        
   2409          0.041               0.125        
   2410          0.024               0.125        
   2411          0.039               0.141        
   2412          0.046               0.125        
   2413          0.020               0.141        
   2414          0.069               0.141        
   2415          0.019               0.125        
   2416          0.025               0.141        
   2417          0.016               0.125        
   2418          0.028               0.125        
   2419          0.035               0.141        
   2420          0.026               0.125        
   2421          0.024               0.141        
   2422          0.016               0.141        
   2423          0.039               0.125        
   2424          0.086               0.141        
   2425          0.034               0.125        
   2426          0.041               0.125        
   2427          0.043               0.141        
   2428          0.065               0.125        
   2429          0.020               0.141        
   2430          0.027               0.141        
   2431          0.038               0.125        
   2432          0.037               0.141        
   2433          0.021               0.125        
   2434          0.021               0.141        
   2435          0.031               0.141        
   2436          0.028               0.125        
   2437          0.026               0.141        
   2438          0.033               0.141        
   2439          0.024               0.125        
   2440          0.016               0.141        
   2441          0.018               0.125        
   2442          0.016               0.141        
   2443          0.037               0.141        
   2444          0.020               0.125        
   2445          0.025               0.141        
   2446          0.025               0.125        
   2447          0.067               0.125        
   2448          0.029               0.141        
   2449          0.024               0.125        
   2450          0.027               0.141        
   2451          0.020               0.141        
   2452          0.020               0.125        
   2453          0.019               0.141        
   2454          0.021               0.125        
   2455          0.030               0.125        
   2456          0.018               0.141        
   2457          0.031               0.125        
   2458          0.040               0.141        
   2459          0.034               0.141        
   2460          0.023               0.125        
   2461          0.019               0.141        
   2462          0.043               0.125        
   2463          0.022               0.125        
   2464          0.028               0.141        
   2465          0.019               0.125        
   2466          0.031               0.141        
   2467          0.038               0.141        
   2468          0.020               0.125        
   2469          0.024               0.141        
   2470          0.019               0.125        
   2471          0.070               0.125        
   2472          0.032               0.141        
   2473          0.027               0.125        
   2474          0.031               0.141        
   2475          0.020               0.141        
   2476          0.037               0.125        
   2477          0.032               0.141        
   2478          0.019               0.125        
   2479          0.032               0.125        
   2480          0.023               0.141        
   2481          0.029               0.125        
   2482          0.019               0.141        
   2483          0.016               0.141        
   2484          0.019               0.125        
   2485          0.031               0.141        
   2486          0.022               0.125        
   2487          0.016               0.125        
   2488          0.037               0.141        
   2489          0.022               0.125        
   2490          0.027               0.141        
   2491          0.017               0.141        
   2492          0.021               0.125        
   2493          0.023               0.141        
   2494          0.019               0.141        
   2495          0.018               0.125        
   2496          0.026               0.141        
   2497          0.035               0.125        
   2498          0.016               0.141        
   2499          0.024               0.141        
   2500          0.016               0.125        
   2501          0.023               0.125        
   2502          0.017               0.141        
   2503          0.034               0.125        
   2504          0.020               0.141        
   2505          0.038               0.141        
   2506          0.024               0.125        
   2507          0.017               0.141        
   2508          0.035               0.141        
   2509          0.052               0.125        
   2510          0.023               0.141        
   2511          0.035               0.125        
   2512          0.048               0.141        
   2513          0.020               0.141        
   2514          0.037               0.125        
   2515          0.048               0.141        
   2516          0.015               0.125        
   2517          0.022               0.125        
   2518          0.024               0.141        
   2519          0.022               0.125        
   2520          0.031               0.141        
   2521          0.015               0.141        
   2522          0.022               0.125        
   2523          0.019               0.141        
   2524          0.025               0.125        
   2525          0.019               0.125        
   2526          0.040               0.141        
   2527          0.023               0.125        
   2528          0.019               0.141        
   2529          0.036               0.141        
   2530          0.022               0.125        
   2531          0.031               0.141        
   2532          0.021               0.125        
   2533          0.017               0.125        
   2534          0.032               0.141        
   2535          0.019               0.125        
   2536          0.018               0.141        
   2537          0.017               0.141        
   2538          0.035               0.125        
   2539          0.025               0.141        
   2540          0.025               0.125        
   2541          0.028               0.125        
   2542          0.041               0.141        
   2543          0.016               0.125        
   2544          0.031               0.141        
   2545          0.029               0.141        
   2546          0.019               0.125        
   2547          0.025               0.141        
   2548          0.034               0.125        
   2549          0.015               0.125        
   2550          0.034               0.141        
   2551          0.031               0.125        
   2552          0.024               0.141        
   2553          0.013               0.141        
   2554          0.049               0.125        
   2555          0.029               0.141        
   2556          0.022               0.125        
   2557          0.023               0.125        
   2558          0.023               0.141        
   2559          0.058               0.125        
   2560          0.023               0.141        
   2561          0.028               0.141        
   2562          0.027               0.125        
   2563          0.033               0.141        
   2564          0.018               0.125        
   2565          0.015               0.125        
   2566          0.027               0.141        
   2567          0.031               0.125        
   2568          0.022               0.141        
   2569          0.018               0.141        
   2570          0.026               0.125        
   2571          0.024               0.141        
   2572          0.019               0.125        
   2573          0.022               0.125        
   2574          0.033               0.141        
   2575          0.023               0.125        
   2576          0.027               0.141        
   2577          0.021               0.141        
   2578          0.023               0.125        
   2579          0.028               0.141        
   2580          0.016               0.125        
   2581          0.022               0.125        
   2582          0.023               0.141        
   2583          0.031               0.125        
   2584          0.018               0.141        
   2585          0.019               0.141        
   2586          0.019               0.125        
   2587          0.020               0.141        
   2588          0.015               0.141        
   2589          0.018               0.125        
   2590          0.017               0.141        
   2591          0.030               0.125        
   2592          0.017               0.141        
   2593          0.013               0.141        
   2594          0.022               0.125        
   2595          0.024               0.141        
   2596          0.030               0.141        
   2597          0.016               0.125        
   2598          0.015               0.141        
   2599          0.032               0.125        
   2600          0.014               0.141        
   2601          0.021               0.141        
   2602          0.014               0.125        
   2603          0.033               0.141        
   2604          0.017               0.141        
   2605          0.019               0.125        
   2606          0.015               0.141        
   2607          0.037               0.125        
   2608          0.019               0.141        
   2609          0.021               0.141        
   2610          0.014               0.125        
   2611          0.023               0.141        
   2612          0.038               0.141        
   2613          0.018               0.125        
   2614          0.029               0.141        
   2615          0.029               0.125        
   2616          0.028               0.141        
   2617          0.025               0.141        
   2618          0.021               0.125        
   2619          0.019               0.141        
   2620          0.025               0.125        
   2621          0.044               0.125        
   2622          0.023               0.141        
   2623          0.031               0.125        
   2624          0.023               0.141        
   2625          0.020               0.141        
   2626          0.029               0.141        
   2627          0.018               0.125        
   2628          0.024               0.141        
   2629          0.033               0.141        
   2630          0.020               0.125        
   2631          0.021               0.141        
   2632          0.024               0.125        
   2633          0.025               0.141        
   2634          0.030               0.141        
   2635          0.036               0.125        
   2636          0.015               0.141        
   2637          0.030               0.125        
   2638          0.020               0.125        
   2639          0.027               0.141        
   2640          0.027               0.125        
   2641          0.025               0.141        
   2642          0.020               0.141        
   2643          0.018               0.125        
   2644          0.021               0.141        
   2645          0.016               0.125        
   2646          0.024               0.125        
   2647          0.029               0.141        
   2648          0.034               0.125        
   2649          0.037               0.141        
   2650          0.014               0.141        
   2651          0.024               0.125        
   2652          0.027               0.141        
   2653          0.019               0.141        
   2654          0.025               0.125        
   2655          0.037               0.141        
   2656          0.022               0.125        
   2657          0.018               0.141        
   2658          0.022               0.141        
   2659          0.031               0.125        
   2660          0.043               0.141        
   2661          0.034               0.125        
   2662          0.028               0.125        
   2663          0.046               0.141        
   2664          0.018               0.125        
   2665          0.022               0.141        
   2666          0.037               0.141        
   2667          0.027               0.125        
   2668          0.014               0.141        
   2669          0.020               0.141        
   2670          0.042               0.125        
   2671          0.027               0.141        
   2672          0.014               0.125        
   2673          0.028               0.141        
   2674          0.033               0.141        
   2675          0.031               0.125        
   2676          0.015               0.141        
   2677          0.029               0.125        
   2678          0.037               0.125        
   2679          0.018               0.141        
   2680          0.015               0.125        
   2681          0.031               0.141        
   2682          0.040               0.141        
   2683          0.028               0.125        
   2684          0.023               0.141        
   2685          0.030               0.125        
   2686          0.037               0.125        
   2687          0.021               0.141        
   2688          0.023               0.125        
   2689          0.084               0.141        
   2690          0.025               0.141        
   2691          0.034               0.125        
   2692          0.042               0.141        
   2693          0.042               0.125        
   2694          0.021               0.125        
   2695          0.040               0.141        
   2696          0.072               0.125        
   2697          0.018               0.141        
   2698          0.029               0.141        
   2699          0.035               0.125        
   2700          0.023               0.141        
   2701          0.018               0.125        
   2702          0.024               0.125        
   2703          0.023               0.141        
   2704          0.052               0.125        
   2705          0.029               0.141        
   2706          0.033               0.141        
   2707          0.060               0.125        
   2708          0.031               0.141        
   2709          0.021               0.125        
   2710          0.019               0.125        
   2711          0.053               0.141        
   2712          0.060               0.125        
   2713          0.030               0.141        
   2714          0.101               0.141        
   2715          0.105               0.125        
   2716          0.043               0.141        
   2717          0.050               0.141        
   2718          0.060               0.125        
   2719          0.021               0.141        
   2720          0.025               0.125        
   2721          0.025               0.141        
   2722          0.051               0.141        
   2723          0.053               0.125        
   2724          0.020               0.141        
   2725          0.033               0.141        
   2726          0.036               0.125        
   2727          0.029               0.141        
   2728          0.018               0.125        
   2729          0.023               0.141        
   2730          0.029               0.141        
   2731          0.036               0.125        
   2732          0.021               0.141        
   2733          0.039               0.141        
   2734          0.017               0.125        
   2735          0.013               0.141        
   2736          0.013               0.125        
   2737          0.024               0.141        
   2738          0.023               0.141        
   2739          0.015               0.125        
   2740          0.016               0.141        
   2741          0.023               0.125        
   2742          0.068               0.125        
   2743          0.023               0.141        
   2744          0.019               0.125        
   2745          0.027               0.141        
   2746          0.027               0.141        
   2747          0.024               0.125        
   2748          0.026               0.141        
   2749          0.023               0.125        
   2750          0.028               0.125        
   2751          0.019               0.141        
   2752          0.023               0.125        
   2753          0.033               0.141        
   2754          0.024               0.141        
   2755          0.027               0.125        
   2756          0.017               0.141        
   2757          0.018               0.141        
   2758          0.019               0.125        
   2759          0.023               0.141        
   2760          0.018               0.125        
   2761          0.016               0.125        
   2762          0.022               0.141        
   2763          0.026               0.125        
   2764          0.016               0.141        
   2765          0.013               0.141        
   2766          0.016               0.125        
   2767          0.016               0.141        
   2768          0.017               0.125        
   2769          0.019               0.141        
   2770          0.026               0.141        
   2771          0.023               0.125        
   2772          0.036               0.141        
   2773          0.036               0.141        
   2774          0.038               0.125        
   2775          0.027               0.141        
   2776          0.022               0.125        
   2777          0.016               0.141        
   2778          0.030               0.141        
   2779          0.067               0.125        
   2780          0.016               0.141        
   2781          0.034               0.141        
   2782          0.044               0.125        
   2783          0.033               0.141        
   2784          0.021               0.125        
   2785          0.029               0.141        
   2786          0.015               0.141        
   2787          0.025               0.125        
   2788          0.020               0.141        
   2789          0.020               0.125        
   2790          0.033               0.125        
   2791          0.036               0.141        
   2792          0.021               0.125        
   2793          0.032               0.141        
   2794          0.023               0.141        
   2795          0.018               0.125        
   2796          0.023               0.141        
   2797          0.027               0.125        
   2798          0.020               0.125        
   2799          0.028               0.141        
   2800          0.026               0.125        
   2801          0.019               0.141        
   2802          0.024               0.141        
   2803          0.028               0.125        
   2804          0.015               0.141        
   2805          0.011               0.141        
   2806          0.021               0.125        
   2807          0.023               0.141        
   2808          0.024               0.125        
   2809          0.014               0.141        
   2810          0.025               0.141        
   2811          0.024               0.125        
   2812          0.036               0.141        
   2813          0.022               0.125        
   2814          0.031               0.125        
   2815          0.057               0.141        
   2816          0.036               0.125        
   2817          0.018               0.141        
   2818          0.015               0.141        
   2819          0.052               0.125        
   2820          0.027               0.141        
   2821          0.017               0.125        
   2822          0.021               0.125        
   2823          0.024               0.141        
   2824          0.015               0.125        
   2825          0.026               0.141        
   2826          0.017               0.141        
   2827          0.024               0.125        
   2828          0.029               0.141        
   2829          0.017               0.125        
   2830          0.036               0.125        
   2831          0.023               0.141        
   2832          0.027               0.125        
   2833          0.019               0.141        
   2834          0.020               0.141        
   2835          0.026               0.125        
   2836          0.045               0.141        
   2837          0.026               0.141        
   2838          0.026               0.125        
   2839          0.032               0.141        
   2840          0.031               0.125        
   2841          0.015               0.141        
   2842          0.023               0.141        
   2843          0.012               0.125        
   2844          0.032               0.141        
   2845          0.022               0.141        
   2846          0.019               0.125        
   2847          0.013               0.141        
   2848          0.029               0.125        
   2849          0.014               0.125        
   2850          0.018               0.141        
   2851          0.039               0.125        
   2852          0.048               0.141        
   2853          0.015               0.141        
   2854          0.020               0.125        
   2855          0.029               0.141        
   2856          0.016               0.125        
   2857          0.014               0.125        
   2858          0.018               0.141        
   2859          0.018               0.125        
   2860          0.018               0.141        
   2861          0.014               0.141        
   2862          0.021               0.125        
   2863          0.019               0.141        
   2864          0.014               0.125        
   2865          0.028               0.125        
   2866          0.021               0.141        
   2867          0.036               0.125        
   2868          0.031               0.141        
   2869          0.032               0.141        
   2870          0.018               0.125        
   2871          0.061               0.141        
   2872          0.030               0.125        
   2873          0.034               0.141        
   2874          0.047               0.141        
   2875          0.031               0.125        
   2876          0.029               0.141        
   2877          0.025               0.141        
   2878          0.020               0.125        
   2879          0.017               0.141        
   2880          0.020               0.125        
   2881          0.028               0.125        
   2882          0.025               0.141        
   2883          0.019               0.125        
   2884          0.035               0.141        
   2885          0.029               0.141        
   2886          0.024               0.125        
   2887          0.038               0.141        
   2888          0.025               0.125        
   2889          0.032               0.141        
   2890          0.017               0.141        
   2891          0.016               0.125        
   2892          0.021               0.141        
   2893          0.015               0.141        
   2894          0.016               0.125        
   2895          0.022               0.141        
   2896          0.028               0.125        
   2897          0.059               0.141        
   2898          0.018               0.141        
   2899          0.016               0.125        
   2900          0.018               0.141        
   2901          0.029               0.141        
   2902          0.021               0.125        
   2903          0.028               0.141        
   2904          0.032               0.125        
   2905          0.030               0.141        
   2906          0.022               0.141        
   2907          0.027               0.125        
   2908          0.046               0.141        
   2909          0.021               0.141        
   2910          0.044               0.125        
   2911          0.024               0.141        
   2912          0.025               0.125        
   2913          0.021               0.141        
   2914          0.021               0.141        
   2915          0.069               0.125        
   2916          0.026               0.141        
   2917          0.041               0.141        
   2918          0.050               0.125        
   2919          0.046               0.141        
   2920          0.026               0.125        
   2921          0.026               0.141        
   2922          0.054               0.141        
   2923          0.023               0.125        
   2924          0.031               0.141        
   2925          0.032               0.141        
   2926          0.068               0.125        
   2927          0.023               0.141        
   2928          0.073               0.125        
   2929          0.044               0.141        
   2930          0.020               0.141        
   2931          0.026               0.125        
   2932          0.015               0.141        
   2933          0.024               0.141        
   2934          0.016               0.125        
   2935          0.040               0.141        
   2936          0.028               0.125        
   2937          0.023               0.141        
   2938          0.026               0.141        
   2939          0.023               0.125        
   2940          0.018               0.141        
   2941          0.015               0.141        
   2942          0.030               0.125        
   2943          0.015               0.141        
   2944          0.028               0.125        
   2945          0.026               0.141        
   2946          0.020               0.141        
   2947          0.023               0.125        
   2948          0.017               0.141        
   2949          0.016               0.141        
   2950          0.015               0.125        
   2951          0.034               0.141        
   2952          0.028               0.125        
   2953          0.019               0.141        
   2954          0.057               0.141        
   2955          0.038               0.125        
   2956          0.022               0.141        
   2957          0.034               0.141        
   2958          0.026               0.125        
   2959          0.018               0.141        
   2960          0.023               0.125        
   2961          0.025               0.141        
   2962          0.023               0.141        
   2963          0.020               0.125        
   2964          0.016               0.141        
   2965          0.019               0.141        
   2966          0.020               0.125        
   2967          0.019               0.141        
   2968          0.017               0.125        
   2969          0.036               0.141        
   2970          0.032               0.141        
   2971          0.017               0.125        
   2972          0.027               0.141        
   2973          0.037               0.141        
   2974          0.080               0.125        
   2975          0.045               0.141        
   2976          0.065               0.125        
   2977          0.131               0.141        
   2978          0.048               0.141        
   2979          0.028               0.125        
   2980          0.042               0.141        
   2981          0.116               0.141        
   2982          0.044               0.125        
   2983          0.031               0.141        
   2984          0.079               0.125        
   2985          0.059               0.141        
   2986          0.034               0.141        
   2987          0.020               0.125        
   2988          0.019               0.141        
   2989          0.045               0.125        
   2990          0.034               0.125        
   2991          0.021               0.141        
   2992          0.018               0.125        
   2993          0.027               0.141        
   2994          0.031               0.141        
   2995          0.019               0.125        
   2996          0.018               0.141        
   2997          0.032               0.125        
   2998          0.038               0.125        
   2999          0.021               0.141        
   3000          0.021               0.125        
   3001          0.031               0.141        
   3002          0.033               0.141        
   3003          0.025               0.125        
   3004          0.020               0.141        
   3005          0.049               0.125        
   3006          0.030               0.141        
   3007          0.019               0.141        
   3008          0.025               0.125        
   3009          0.044               0.141        
   3010          0.044               0.125        
   3011          0.017               0.125        
   3012          0.044               0.141        
   3013          0.024               0.125        
   3014          0.019               0.141        
   3015          0.015               0.141        
   3016          0.026               0.125        
   3017          0.018               0.141        
   3018          0.017               0.141        
   3019          0.017               0.125        
   3020          0.014               0.141        
   3021          0.032               0.125        
   3022          0.013               0.125        
   3023          0.015               0.141        
   3024          0.026               0.125        
   3025          0.023               0.141        
   3026          0.021               0.141        
   3027          0.018               0.125        
   3028          0.013               0.141        
   3029          0.019               0.125        
   3030          0.018               0.125        
   3031          0.016               0.141        
   3032          0.041               0.125        
   3033          0.018               0.141        
   3034          0.028               0.141        
   3035          0.011               0.125        
   3036          0.016               0.141        
   3037          0.024               0.125        
   3038          0.022               0.141        
   3039          0.019               0.141        
   3040          0.025               0.125        
   3041          0.016               0.141        
   3042          0.026               0.141        
   3043          0.014               0.125        
   3044          0.056               0.141        
   3045          0.015               0.125        
   3046          0.014               0.125        
   3047          0.019               0.141        
   3048          0.020               0.125        
   3049          0.021               0.141        
   3050          0.031               0.141        
   3051          0.050               0.125        
   3052          0.017               0.141        
   3053          0.027               0.125        
   3054          0.021               0.141        
   3055          0.026               0.141        
   3056          0.016               0.125        
   3057          0.034               0.141        
   3058          0.022               0.141        
   3059          0.023               0.125        
   3060          0.016               0.141        
   3061          0.049               0.125        
   3062          0.027               0.125        
   3063          0.023               0.141        
   3064          0.037               0.125        
   3065          0.018               0.141        
   3066          0.016               0.141        
   3067          0.026               0.125        
