__________________________________________________
Iteration   Train.Loss (MSE)     Time (in sec)    
   264           0.204               0.141        
   265           0.207               0.141        
   266           0.176               0.125        
   267           0.213               0.141        
   268           0.284               0.125        
   269           0.126               0.141        
   270           0.240               0.141        
   271           0.291               0.125        
   272           0.200               0.141        
   273           0.283               0.125        
   274           0.183               0.141        
   275           0.315               0.141        
   276           0.200               0.125        
   277           0.218               0.141        
   278           0.242               0.125        
   279           0.251               0.141        
   280           0.200               0.141        
   281           0.247               0.125        
   282           0.247               0.141        
   283           0.190               0.125        
   284           0.145               0.141        
   285           0.307               0.125        
   286           0.074               0.125        
   287           0.231               0.141        
   288           0.342               0.125        
   289           0.239               0.141        
   290           0.275               0.125        
   291           0.244               0.141        
   292           0.096               0.141        
   293           0.207               0.125        
   294           0.336               0.141        
   295           0.232               0.125        
   296           0.320               0.141        
   297           0.191               0.141        
   298           0.491               0.125        
   299           0.147               0.141        
   300           0.112               0.125        
   301           0.396               0.141        
   302           0.212               0.141        
   303           0.250               0.125        
   304           0.180               0.141        
   305           0.205               0.125        
   306           0.199               0.141        
   307           0.103               0.141        
   308           0.129               0.125        
   309           0.226               0.141        
   310           0.183               0.125        
   311           0.345               0.141        
   312           0.208               0.125        
   313           0.245               0.125        
   314           0.203               0.141        
   315           0.129               0.125        
   316           0.304               0.141        
   317           0.153               0.125        
   318           0.176               0.141        
   319           0.168               0.141        
   320           0.201               0.125        
   321           0.226               0.141        
   322           0.266               0.125        
   323           0.217               0.141        
   324           0.203               0.141        
   325           0.137               0.125        
   326           0.129               0.141        
   327           0.298               0.125        
   328           0.185               0.141        
   329           0.428               0.141        
   330           0.131               0.125        
   331           0.186               0.141        
   332           0.165               0.125        
   333           0.256               0.141        
   334           0.099               0.141        
   335           0.228               0.125        
   336           0.237               0.141        
   337           0.312               0.125        
   338           0.142               0.141        
   339           0.272               0.141        
   340           0.211               0.125        
   341           0.175               0.141        
   342           0.165               0.125        
   343           0.164               0.141        
   344           0.183               0.141        
   345           0.127               0.125        
   346           0.140               0.141        
   347           0.147               0.125        
   348           0.121               0.141        
   349           0.186               0.125        
   350           0.182               0.125        
   351           0.147               0.141        
   352           0.120               0.125        
   353           0.158               0.141        
   354           0.216               0.125        
   355           0.110               0.141        
   356           0.321               0.141        
   357           0.261               0.125        
   358           0.178               0.141        
   359           0.237               0.125        
   360           0.114               0.141        
   361           0.389               0.141        
   362           0.150               0.125        
   363           0.193               0.141        
   364           0.334               0.125        
   365           0.230               0.141        
   366           0.249               0.141        
   367           0.380               0.125        
   368           0.178               0.141        
   369           0.252               0.125        
   370           0.144               0.141        
   371           0.113               0.141        
   372           0.348               0.125        
   373           0.182               0.141        
   374           0.198               0.125        
   375           0.135               0.141        
   376           0.198               0.125        
   377           0.267               0.125        
   378           0.254               0.141        
   379           0.149               0.125        
   380           0.135               0.141        
   381           0.209               0.125        
   382           0.119               0.125        
   383           0.268               0.141        
   384           0.123               0.125        
   385           0.113               0.141        
   386           0.274               0.125        
   387           0.266               0.125        
   388           0.181               0.141        
   389           0.165               0.125        
   390           0.205               0.141        
   391           0.217               0.125        
   392           0.239               0.141        
   393           0.110               0.141        
   394           0.144               0.125        
   395           0.245               0.141        
   396           0.205               0.125        
   397           0.152               0.141        
   398           0.260               0.141        
   399           0.104               0.125        
   400           0.164               0.141        
   401           0.260               0.125        
   402           0.213               0.141        
   403           0.235               0.141        
   404           0.175               0.125        
   405           0.243               0.141        
   406           0.171               0.125        
   407           0.410               0.141        
   408           0.260               0.141        
   409           0.296               0.125        
   410           0.335               0.141        
   411           0.118               0.125        
   412           0.332               0.141        
   413           0.187               0.125        
   414           0.115               0.125        
   415           0.186               0.141        
   416           0.388               0.125        
   417           0.251               0.141        
   418           0.174               0.125        
   419           0.180               0.125        
   420           0.174               0.141        
   421           0.154               0.125        
   422           0.223               0.141        
   423           0.101               0.125        
   424           0.200               0.141        
   425           0.248               0.141        
   426           0.153               0.125        
   427           0.209               0.141        
   428           0.164               0.125        
   429           0.141               0.141        
   430           0.289               0.141        
   431           0.281               0.125        
   432           0.283               0.141        
   433           0.187               0.125        
   434           0.163               0.141        
   435           0.334               0.141        
   436           0.164               0.125        
   437           0.349               0.141        
   438           0.194               0.125        
   439           0.133               0.141        
   440           0.235               0.141        
   441           0.201               0.125        
   442           0.161               0.141        
   443           0.253               0.125        
   444           0.225               0.141        
   445           0.122               0.141        
   446           0.138               0.125        
   447           0.120               0.141        
   448           0.134               0.125        
   449           0.152               0.141        
   450           0.227               0.125        
   451           0.189               0.125        
   452           0.118               0.141        
   453           0.180               0.125        
   454           0.228               0.141        
   455           0.164               0.125        
   456           0.192               0.125        
   457           0.158               0.141        
   458           0.174               0.125        
   459           0.229               0.141        
   460           0.267               0.125        
   461           0.158               0.141        
   462           0.093               0.141        
   463           0.305               0.125        
   464           0.103               0.141        
   465           0.255               0.125        
   466           0.174               0.141        
   467           0.051               0.141        
   468           0.274               0.125        
   469           0.102               0.141        
   470           0.103               0.125        
   471           0.111               0.141        
   472           0.161               0.141        
   473           0.197               0.125        
   474           0.205               0.141        
   475           0.133               0.125        
   476           0.111               0.141        
   477           0.128               0.125        
   478           0.153               0.125        
   479           0.268               0.141        
   480           0.166               0.125        
   481           0.229               0.141        
   482           0.153               0.125        
   483           0.147               0.125        
   484           0.268               0.141        
   485           0.207               0.125        
   486           0.175               0.141        
   487           0.183               0.141        
   488           0.142               0.125        
   489           0.092               0.141        
   490           0.176               0.125        
   491           0.186               0.141        
   492           0.204               0.125        
   493           0.135               0.125        
   494           0.235               0.141        
   495           0.113               0.125        
   496           0.128               0.141        
   497           0.143               0.125        
   498           0.165               0.125        
   499           0.097               0.141        
   500           0.110               0.125        
   501           0.165               0.141        
   502           0.109               0.125        
   503           0.138               0.141        
   504           0.124               0.141        
   505           0.226               0.125        
   506           0.215               0.141        
   507           0.194               0.125        
   508           0.179               0.141        
   509           0.251               0.141        
   510           0.208               0.125        
   511           0.237               0.141        
   512           0.124               0.125        
   513           0.265               0.141        
   514           0.116               0.141        
   515           0.210               0.125        
   516           0.096               0.141        
   517           0.156               0.125        
   518           0.202               0.141        
   519           0.141               0.141        
   520           0.286               0.125        
   521           0.211               0.141        
   522           0.166               0.125        
   523           0.167               0.141        
   524           0.142               0.125        
   525           0.139               0.125        
   526           0.135               0.141        
   527           0.335               0.125        
   528           0.263               0.141        
   529           0.181               0.125        
   530           0.235               0.125        
   531           0.166               0.141        
   532           0.163               0.125        
   533           0.204               0.141        
   534           0.223               0.125        
   535           0.135               0.125        
   536           0.131               0.141        
   537           0.208               0.125        
   538           0.158               0.141        
   539           0.206               0.125        
   540           0.233               0.125        
   541           0.136               0.141        
   542           0.289               0.125        
   543           0.168               0.141        
   544           0.142               0.125        
   545           0.168               0.141        
   546           0.173               0.141        
   547           0.121               0.125        
   548           0.143               0.141        
   549           0.151               0.125        
   550           0.166               0.141        
   551           0.169               0.141        
   552           0.282               0.125        
   553           0.178               0.141        
   554           0.193               0.125        
   555           0.191               0.141        
   556           0.089               0.141        
   557           0.126               0.125        
   558           0.271               0.141        
   559           0.161               0.125        
   560           0.215               0.141        
   561           0.210               0.141        
   562           0.174               0.125        
   563           0.167               0.141        
   564           0.386               0.125        
   565           0.163               0.141        
   566           0.286               0.125        
   567           0.164               0.125        
   568           0.233               0.141        
   569           0.115               0.125        
   570           0.119               0.141        
   571           0.128               0.125        
   572           0.159               0.125        
   573           0.121               0.141        
   574           0.194               0.125        
   575           0.234               0.141        
   576           0.053               0.125        
   577           0.147               0.141        
   578           0.109               0.141        
   579           0.136               0.125        
   580           0.191               0.141        
   581           0.287               0.125        
   582           0.162               0.141        
   583           0.212               0.141        
   584           0.144               0.125        
   585           0.105               0.141        
   586           0.298               0.125        
   587           0.184               0.141        
   588           0.266               0.141        
   589           0.328               0.125        
   590           0.164               0.141        
   591           0.334               0.125        
   592           0.162               0.141        
   593           0.108               0.125        
   594           0.169               0.125        
   595           0.133               0.141        
   596           0.146               0.125        
   597           0.258               0.141        
   598           0.104               0.125        
   599           0.060               0.125        
   600           0.287               0.141        
   601           0.129               0.125        
   602           0.106               0.141        
   603           0.140               0.125        
   604           0.174               0.125        
   605           0.235               0.141        
   606           0.234               0.125        
   607           0.197               0.141        
   608           0.116               0.125        
   609           0.176               0.141        
   610           0.096               0.141        
   611           0.107               0.125        
   612           0.112               0.141        
   613           0.161               0.125        
   614           0.132               0.141        
   615           0.102               0.141        
   616           0.180               0.125        
   617           0.180               0.141        
   618           0.086               0.125        
   619           0.079               0.141        
   620           0.215               0.141        
   621           0.115               0.125        
   622           0.189               0.141        
   623           0.138               0.125        
   624           0.081               0.141        
   625           0.077               0.125        
   626           0.108               0.125        
   627           0.173               0.141        
   628           0.218               0.125        
   629           0.186               0.141        
   630           0.069               0.141        
   631           0.171               0.125        
   632           0.078               0.141        
   633           0.088               0.125        
   634           0.248               0.141        
   635           0.141               0.125        
   636           0.189               0.125        
   637           0.152               0.141        
   638           0.046               0.125        
   639           0.276               0.141        
   640           0.177               0.125        
   641           0.116               0.125        
   642           0.170               0.141        
   643           0.164               0.125        
   644           0.127               0.141        
   645           0.171               0.125        
   646           0.181               0.141        
   647           0.245               0.141        
   648           0.170               0.125        
   649           0.142               0.141        
   650           0.308               0.125        
   651           0.499               0.141        
   652           0.148               0.141        
   653           0.290               0.125        
   654           0.319               0.141        
   655           0.200               0.125        
   656           0.300               0.141        
   657           0.249               0.141        
   658           0.149               0.125        
   659           0.140               0.141        
   660           0.264               0.125        
   661           0.244               0.141        
   662           0.181               0.141        
   663           0.191               0.125        
   664           0.168               0.141        
   665           0.150               0.125        
   666           0.186               0.141        
   667           0.215               0.125        
   668           0.143               0.125        
   669           0.223               0.141        
   670           0.330               0.125        
   671           0.171               0.141        
   672           0.280               0.125        
   673           0.220               0.125        
   674           0.135               0.141        
   675           0.347               0.125        
   676           0.287               0.141        
   677           0.242               0.125        
   678           0.242               0.141        
   679           0.217               0.141        
   680           0.124               0.125        
   681           0.207               0.141        
   682           0.417               0.125        
   683           0.151               0.141        
   684           0.325               0.141        
   685           0.183               0.125        
   686           0.202               0.141        
   687           0.178               0.125        
   688           0.323               0.141        
   689           0.203               0.141        
   690           0.109               0.125        
   691           0.188               0.141        
   692           0.190               0.125        
   693           0.202               0.141        
   694           0.082               0.125        
   695           0.176               0.125        
   696           0.223               0.141        
   697           0.289               0.125        
   698           0.190               0.141        
   699           0.340               0.125        
   700           0.134               0.125        
   701           0.257               0.141        
   702           0.428               0.125        
   703           0.165               0.141        
   704           0.226               0.125        
   705           0.182               0.141        
   706           0.186               0.141        
   707           0.203               0.125        
   708           0.145               0.141        
   709           0.160               0.125        
   710           0.115               0.141        
   711           0.213               0.141        
   712           0.204               0.125        
   713           0.219               0.141        
   714           0.152               0.125        
   715           0.222               0.141        
   716           0.099               0.141        
   717           0.241               0.125        
   718           0.134               0.141        
   719           0.202               0.125        
   720           0.125               0.141        
   721           0.132               0.141        
   722           0.137               0.125        
   723           0.158               0.141        
   724           0.106               0.125        
   725           0.099               0.141        
   726           0.167               0.141        
   727           0.144               0.125        
   728           0.128               0.141        
   729           0.186               0.125        
   730           0.115               0.141        
   731           0.114               0.141        
   732           0.175               0.125        
   733           0.123               0.141        
   734           0.149               0.125        
   735           0.170               0.141        
   736           0.164               0.125        
   737           0.220               0.125        
   738           0.119               0.141        
   739           0.149               0.125        
   740           0.135               0.141        
   741           0.243               0.125        
   742           0.205               0.125        
   743           0.221               0.141        
   744           0.171               0.125        
   745           0.124               0.141        
   746           0.294               0.125        
   747           0.128               0.141        
   748           0.185               0.141        
   749           0.253               0.125        
   750           0.138               0.141        
   751           0.164               0.141        
   752           0.088               0.125        
   753           0.207               0.141        
   754           0.263               0.125        
   755           0.215               0.141        
   756           0.096               0.125        
   757           0.111               0.125        
   758           0.133               0.141        
   759           0.209               0.125        
   760           0.158               0.141        
   761           0.197               0.125        
   762           0.182               0.125        
   763           0.262               0.141        
   764           0.216               0.125        
   765           0.227               0.141        
   766           0.251               0.125        
   767           0.188               0.141        
   768           0.210               0.141        
   769           0.290               0.125        
   770           0.188               0.141        
   771           0.199               0.125        
   772           0.222               0.141        
   773           0.184               0.141        
   774           0.156               0.125        
   775           0.258               0.141        
   776           0.138               0.125        
   777           0.218               0.141        
   778           0.331               0.141        
   779           0.088               0.125        
   780           0.184               0.141        
   781           0.335               0.125        
   782           0.156               0.141        
   783           0.271               0.141        
   784           0.320               0.125        
   785           0.205               0.141        
   786           0.095               0.125        
   787           0.350               0.141        
   788           0.170               0.125        
   789           0.292               0.125        
   790           0.202               0.141        
   791           0.214               0.125        
   792           0.181               0.141        
   793           0.150               0.125        
   794           0.165               0.125        
   795           0.251               0.141        
   796           0.282               0.125        
   797           0.339               0.141        
   798           0.265               0.125        
   799           0.185               0.141        
   800           0.413               0.141        
   801           0.126               0.125        
   802           0.206               0.141        
   803           0.304               0.125        
   804           0.095               0.141        
   805           0.249               0.141        
   806           0.195               0.125        
   807           0.177               0.141        
   808           0.152               0.125        
   809           0.086               0.141        
   810           0.261               0.141        
   811           0.182               0.125        
   812           0.241               0.141        
   813           0.202               0.125        
   814           0.058               0.141        
   815           0.156               0.141        
   816           0.082               0.125        
   817           0.104               0.141        
   818           0.211               0.125        
   819           0.261               0.141        
   820           0.235               0.125        
   821           0.176               0.125        
   822           0.187               0.141        
   823           0.191               0.125        
   824           0.147               0.141        
   825           0.170               0.125        
   826           0.150               0.125        
   827           0.168               0.141        
   828           0.206               0.125        
   829           0.133               0.141        
   830           0.230               0.125        
   831           0.242               0.141        
   832           0.200               0.141        
   833           0.150               0.125        
   834           0.135               0.141        
   835           0.204               0.125        
   836           0.108               0.141        
   837           0.083               0.141        
   838           0.181               0.125        
   839           0.173               0.141        
