__________________________________________________
Iteration   Train.Loss (MSE)     Time (in sec)    
   1819          0.122               0.141        
   1820          0.111               0.141        
   1821          0.185               0.125        
   1822          0.095               0.141        
   1823          0.166               0.141        
   1824          0.124               0.125        
   1825          0.145               0.141        
   1826          0.170               0.141        
   1827          0.115               0.125        
   1828          0.149               0.141        
   1829          0.178               0.141        
   1830          0.118               0.125        
   1831          0.161               0.141        
   1832          0.110               0.131        
   1833          0.134               0.141        
   1834          0.090               0.141        
   1835          0.164               0.125        
   1836          0.193               0.141        
   1837          0.134               0.141        
   1838          0.106               0.125        
   1839          0.106               0.141        
   1840          0.141               0.130        
   1841          0.190               0.141        
   1842          0.130               0.141        
   1843          0.094               0.125        
   1844          0.112               0.141        
   1845          0.206               0.141        
   1846          0.103               0.125        
   1847          0.118               0.141        
   1848          0.182               0.141        
   1849          0.179               0.172        
   1850          0.164               0.141        
   1851          0.120               0.141        
   1852          0.129               0.125        
   1853          0.100               0.141        
   1854          0.264               0.125        
   1855          0.160               0.125        
   1856          0.178               0.141        
   1857          0.140               0.125        
   1858          0.137               0.141        
   1859          0.134               0.141        
   1860          0.092               0.125        
   1861          0.128               0.141        
   1862          0.081               0.125        
   1863          0.122               0.141        
   1864          0.181               0.140        
   1865          0.156               0.125        
   1866          0.189               0.141        
   1867          0.238               0.125        
   1868          0.135               0.141        
   1869          0.086               0.141        
   1870          0.141               0.125        
   1871          0.121               0.141        
   1872          0.073               0.125        
   1873          0.110               0.141        
   1874          0.113               0.141        
   1875          0.121               0.125        
   1876          0.088               0.141        
   1877          0.184               0.125        
   1878          0.120               0.141        
   1879          0.126               0.125        
   1880          0.160               0.125        
   1881          0.142               0.141        
   1882          0.126               0.125        
   1883          0.091               0.141        
   1884          0.218               0.125        
   1885          0.142               0.125        
   1886          0.146               0.141        
   1887          0.107               0.125        
   1888          0.138               0.141        
   1889          0.118               0.125        
   1890          0.119               0.141        
   1891          0.108               0.141        
   1892          0.076               0.125        
   1893          0.147               0.141        
   1894          0.115               0.125        
   1895          0.119               0.141        
   1896          0.126               0.141        
   1897          0.101               0.125        
   1898          0.183               0.141        
   1899          0.210               0.125        
   1900          0.155               0.141        
   1901          0.089               0.141        
   1902          0.159               0.125        
   1903          0.141               0.141        
   1904          0.075               0.125        
   1905          0.190               0.141        
   1906          0.142               0.125        
   1907          0.106               0.125        
   1908          0.118               0.141        
   1909          0.112               0.125        
   1910          0.138               0.141        
   1911          0.092               0.125        
   1912          0.153               0.125        
   1913          0.226               0.141        
   1914          0.204               0.125        
   1915          0.171               0.141        
   1916          0.128               0.125        
   1917          0.265               0.141        
   1918          0.281               0.141        
   1919          0.087               0.125        
   1920          0.208               0.141        
   1921          0.207               0.125        
   1922          0.110               0.141        
   1923          0.156               0.141        
   1924          0.130               0.125        
   1925          0.132               0.141        
   1926          0.087               0.125        
   1927          0.121               0.141        
   1928          0.191               0.141        
   1929          0.121               0.125        
   1930          0.247               0.141        
   1931          0.104               0.125        
   1932          0.198               0.141        
   1933          0.172               0.141        
   1934          0.188               0.125        
   1935          0.173               0.141        
   1936          0.202               0.125        
   1937          0.181               0.141        
   1938          0.153               0.141        
   1939          0.107               0.125        
   1940          0.157               0.141        
   1941          0.137               0.125        
   1942          0.176               0.141        
   1943          0.126               0.125        
   1944          0.147               0.125        
   1945          0.202               0.141        
   1946          0.135               0.125        
   1947          0.184               0.141        
   1948          0.150               0.125        
   1949          0.175               0.125        
   1950          0.190               0.141        
   1951          0.123               0.125        
   1952          0.128               0.141        
   1953          0.167               0.125        
   1954          0.134               0.141        
   1955          0.143               0.141        
   1956          0.155               0.125        
   1957          0.178               0.141        
   1958          0.178               0.125        
   1959          0.131               0.141        
   1960          0.082               0.141        
   1961          0.124               0.125        
   1962          0.111               0.141        
   1963          0.135               0.125        
   1964          0.098               0.141        
   1965          0.156               0.141        
   1966          0.178               0.125        
   1967          0.098               0.141        
   1968          0.199               0.125        
   1969          0.116               0.141        
   1970          0.105               0.141        
   1971          0.145               0.125        
   1972          0.171               0.141        
   1973          0.083               0.125        
   1974          0.154               0.141        
   1975          0.167               0.141        
   1976          0.116               0.125        
   1977          0.128               0.141        
   1978          0.138               0.125        
   1979          0.176               0.141        
   1980          0.191               0.141        
   1981          0.117               0.125        
   1982          0.123               0.141        
   1983          0.256               0.125        
   1984          0.079               0.141        
   1985          0.132               0.141        
   1986          0.103               0.125        
   1987          0.103               0.141        
   1988          0.092               0.125        
   1989          0.138               0.141        
   1990          0.135               0.125        
   1991          0.185               0.125        
   1992          0.184               0.141        
   1993          0.179               0.125        
   1994          0.115               0.141        
   1995          0.162               0.125        
   1996          0.135               0.125        
   1997          0.148               0.141        
   1998          0.083               0.125        
   1999          0.173               0.141        
   2000          0.199               0.125        
   2001          0.147               0.141        
   2002          0.167               0.141        
   2003          0.111               0.125        
   2004          0.156               0.141        
   2005          0.137               0.125        
   2006          0.132               0.141        
   2007          0.108               0.141        
   2008          0.179               0.125        
   2009          0.188               0.141        
   2010          0.105               0.125        
   2011          0.131               0.141        
   2012          0.124               0.141        
   2013          0.128               0.125        
   2014          0.066               0.141        
   2015          0.125               0.125        
   2016          0.102               0.141        
   2017          0.133               0.141        
   2018          0.151               0.125        
   2019          0.123               0.141        
   2020          0.174               0.125        
   2021          0.164               0.141        
   2022          0.105               0.141        
   2023          0.061               0.125        
   2024          0.105               0.141        
   2025          0.143               0.125        
   2026          0.131               0.141        
   2027          0.089               0.125        
   2028          0.157               0.125        
   2029          0.192               0.141        
   2030          0.169               0.125        
   2031          0.114               0.141        
   2032          0.105               0.125        
   2033          0.187               0.141        
   2034          0.140               0.141        
   2035          0.092               0.125        
   2036          0.107               0.141        
   2037          0.271               0.125        
   2038          0.084               0.141        
   2039          0.158               0.141        
   2040          0.173               0.125        
   2041          0.139               0.141        
   2042          0.152               0.125        
   2043          0.182               0.141        
   2044          0.130               0.141        
   2045          0.110               0.125        
   2046          0.142               0.141        
   2047          0.151               0.125        
   2048          0.210               0.141        
   2049          0.130               0.141        
   2050          0.177               0.125        
   2051          0.150               0.141        
   2052          0.240               0.125        
   2053          0.145               0.141        
   2054          0.131               0.141        
   2055          0.094               0.125        
   2056          0.170               0.141        
   2057          0.179               0.125        
   2058          0.095               0.141        
   2059          0.107               0.141        
   2060          0.167               0.125        
   2061          0.163               0.141        
   2062          0.169               0.125        
   2063          0.170               0.141        
   2064          0.098               0.125        
   2065          0.189               0.125        
   2066          0.237               0.141        
   2067          0.223               0.125        
   2068          0.076               0.141        
   2069          0.254               0.125        
   2070          0.174               0.141        
   2071          0.149               0.141        
   2072          0.169               0.125        
   2073          0.145               0.141        
   2074          0.146               0.125        
   2075          0.206               0.141        
   2076          0.178               0.141        
   2077          0.227               0.125        
   2078          0.156               0.141        
   2079          0.168               0.125        
   2080          0.122               0.141        
   2081          0.101               0.141        
   2082          0.161               0.125        
   2083          0.089               0.141        
   2084          0.096               0.125        
   2085          0.168               0.141        
   2086          0.148               0.141        
   2087          0.111               0.125        
   2088          0.180               0.141        
   2089          0.072               0.125        
   2090          0.075               0.141        
   2091          0.108               0.141        
   2092          0.088               0.125        
   2093          0.098               0.141        
   2094          0.126               0.125        
   2095          0.140               0.141        
   2096          0.189               0.141        
   2097          0.185               0.125        
   2098          0.105               0.141        
   2099          0.272               0.125        
   2100          0.089               0.141        
   2101          0.316               0.141        
   2102          0.168               0.125        
   2103          0.166               0.141        
   2104          0.234               0.125        
   2105          0.136               0.141        
   2106          0.123               0.125        
   2107          0.108               0.125        
   2108          0.145               0.141        
   2109          0.120               0.125        
   2110          0.164               0.141        
   2111          0.156               0.125        
   2112          0.184               0.141        
   2113          0.183               0.141        
   2114          0.200               0.125        
   2115          0.240               0.141        
   2116          0.151               0.125        
   2117          0.101               0.141        
   2118          0.284               0.141        
   2119          0.157               0.125        
   2120          0.187               0.141        
   2121          0.154               0.125        
   2122          0.153               0.141        
   2123          0.125               0.141        
   2124          0.111               0.125        
   2125          0.138               0.141        
   2126          0.264               0.141        
   2127          0.131               0.125        
   2128          0.151               0.141        
   2129          0.100               0.125        
   2130          0.073               0.141        
   2131          0.151               0.141        
   2132          0.150               0.125        
   2133          0.260               0.141        
   2134          0.090               0.125        
   2135          0.192               0.141        
   2136          0.152               0.141        
   2137          0.205               0.125        
   2138          0.185               0.141        
   2139          0.306               0.125        
   2140          0.056               0.141        
   2141          0.286               0.125        
   2142          0.429               0.125        
   2143          0.113               0.141        
   2144          0.218               0.125        
   2145          0.198               0.141        
   2146          0.210               0.125        
   2147          0.174               0.125        
   2148          0.162               0.141        
   2149          0.293               0.125        
   2150          0.155               0.141        
   2151          0.289               0.125        
   2152          0.246               0.141        
   2153          0.094               0.141        
   2154          0.119               0.125        
   2155          0.168               0.141        
   2156          0.118               0.125        
   2157          0.152               0.141        
   2158          0.176               0.141        
   2159          0.150               0.125        
   2160          0.202               0.141        
   2161          0.096               0.125        
   2162          0.222               0.141        
   2163          0.168               0.141        
   2164          0.154               0.125        
   2165          0.110               0.141        
   2166          0.106               0.125        
   2167          0.127               0.141        
   2168          0.091               0.141        
   2169          0.149               0.125        
   2170          0.123               0.141        
   2171          0.119               0.125        
   2172          0.135               0.141        
   2173          0.119               0.141        
   2174          0.095               0.125        
   2175          0.095               0.141        
   2176          0.180               0.125        
   2177          0.108               0.141        
   2178          0.163               0.141        
   2179          0.148               0.125        
   2180          0.121               0.141        
   2181          0.096               0.125        
   2182          0.140               0.141        
   2183          0.205               0.141        
   2184          0.125               0.125        
   2185          0.177               0.141        
   2186          0.163               0.125        
   2187          0.201               0.141        
   2188          0.091               0.141        
   2189          0.222               0.125        
   2190          0.169               0.141        
   2191          0.100               0.125        
   2192          0.158               0.141        
   2193          0.145               0.125        
   2194          0.121               0.125        
   2195          0.125               0.141        
   2196          0.140               0.125        
   2197          0.157               0.141        
   2198          0.140               0.141        
   2199          0.081               0.125        
   2200          0.125               0.141        
   2201          0.098               0.125        
   2202          0.180               0.141        
   2203          0.228               0.141        
   2204          0.167               0.125        
   2205          0.181               0.141        
   2206          0.104               0.125        
   2207          0.077               0.141        
   2208          0.139               0.141        
   2209          0.126               0.125        
   2210          0.221               0.141        
   2211          0.072               0.125        
   2212          0.153               0.141        
   2213          0.205               0.141        
   2214          0.082               0.125        
   2215          0.125               0.141        
   2216          0.170               0.125        
   2217          0.126               0.141        
   2218          0.183               0.125        
   2219          0.259               0.125        
   2220          0.111               0.141        
   2221          0.176               0.125        
   2222          0.171               0.141        
   2223          0.168               0.125        
   2224          0.076               0.125        
   2225          0.171               0.141        
   2226          0.108               0.125        
   2227          0.173               0.141        
   2228          0.231               0.125        
   2229          0.194               0.141        
   2230          0.126               0.141        
   2231          0.118               0.125        
   2232          0.181               0.141        
   2233          0.126               0.125        
   2234          0.120               0.141        
   2235          0.217               0.141        
   2236          0.125               0.125        
   2237          0.164               0.141        
   2238          0.224               0.125        
   2239          0.061               0.141        
   2240          0.133               0.141        
   2241          0.209               0.125        
   2242          0.152               0.141        
   2243          0.123               0.125        
   2244          0.216               0.141        
   2245          0.083               0.141        
   2246          0.150               0.125        
   2247          0.108               0.141        
   2248          0.263               0.125        
   2249          0.150               0.141        
   2250          0.165               0.141        
   2251          0.192               0.125        
   2252          0.092               0.141        
   2253          0.144               0.125        
   2254          0.266               0.141        
   2255          0.154               0.125        
   2256          0.119               0.125        
   2257          0.253               0.141        
   2258          0.108               0.125        
   2259          0.096               0.141        
   2260          0.075               0.125        
   2261          0.181               0.141        
   2262          0.124               0.141        
   2263          0.112               0.125        
   2264          0.196               0.141        
   2265          0.184               0.125        
   2266          0.128               0.141        
   2267          0.168               0.141        
   2268          0.174               0.125        
   2269          0.164               0.141        
   2270          0.177               0.125        
   2271          0.163               0.141        
   2272          0.247               0.141        
   2273          0.106               0.125        
   2274          0.132               0.141        
   2275          0.212               0.125        
   2276          0.203               0.141        
   2277          0.214               0.141        
   2278          0.172               0.125        
   2279          0.224               0.141        
   2280          0.172               0.125        
   2281          0.183               0.141        
   2282          0.218               0.141        
   2283          0.173               0.125        
   2284          0.162               0.141        
   2285          0.145               0.125        
   2286          0.096               0.141        
   2287          0.164               0.125        
   2288          0.094               0.125        
   2289          0.162               0.141        
   2290          0.163               0.125        
   2291          0.103               0.141        
   2292          0.158               0.125        
   2293          0.112               0.125        
   2294          0.125               0.141        
   2295          0.222               0.125        
   2296          0.201               0.141        
   2297          0.096               0.125        
   2298          0.122               0.141        
   2299          0.083               0.141        
   2300          0.242               0.125        
   2301          0.119               0.141        
   2302          0.158               0.125        
   2303          0.106               0.141        
   2304          0.075               0.141        
   2305          0.089               0.125        
   2306          0.161               0.141        
   2307          0.078               0.125        
   2308          0.138               0.141        
   2309          0.108               0.141        
   2310          0.167               0.125        
   2311          0.249               0.141        
   2312          0.186               0.125        
   2313          0.145               0.141        
   2314          0.196               0.141        
   2315          0.114               0.125        
   2316          0.302               0.141        
   2317          0.089               0.125        
   2318          0.085               0.141        
   2319          0.112               0.141        
   2320          0.083               0.125        
   2321          0.112               0.141        
   2322          0.096               0.125        
   2323          0.169               0.141        
   2324          0.080               0.125        
   2325          0.130               0.125        
   2326          0.115               0.141        
   2327          0.096               0.125        
   2328          0.068               0.141        
   2329          0.102               0.125        
   2330          0.119               0.125        
   2331          0.116               0.141        
   2332          0.161               0.125        
   2333          0.147               0.141        
   2334          0.125               0.125        
   2335          0.102               0.125        
   2336          0.121               0.141        
   2337          0.158               0.125        
   2338          0.177               0.141        
   2339          0.194               0.125        
   2340          0.157               0.141        
   2341          0.148               0.141        
   2342          0.207               0.125        
   2343          0.088               0.141        
   2344          0.086               0.125        
   2345          0.167               0.141        
   2346          0.125               0.141        
   2347          0.075               0.125        
   2348          0.150               0.141        
   2349          0.141               0.125        
   2350          0.271               0.141        
   2351          0.134               0.141        
   2352          0.149               0.125        
   2353          0.117               0.141        
   2354          0.086               0.125        
   2355          0.207               0.141        
   2356          0.348               0.141        
   2357          0.159               0.125        
   2358          0.294               0.141        
   2359          0.258               0.125        
   2360          0.179               0.141        
   2361          0.194               0.141        
   2362          0.253               0.125        
   2363          0.165               0.141        
   2364          0.172               0.125        
   2365          0.255               0.141        
   2366          0.125               0.141        
   2367          0.093               0.125        
   2368          0.263               0.141        
   2369          0.213               0.125        
   2370          0.108               0.141        
   2371          0.114               0.141        
   2372          0.262               0.125        
   2373          0.140               0.141        
   2374          0.115               0.125        
   2375          0.252               0.141        
   2376          0.209               0.125        
   2377          0.120               0.141        
   2378          0.209               0.141        
   2379          0.209               0.125        
   2380          0.183               0.141        
   2381          0.170               0.125        
   2382          0.198               0.141        
   2383          0.087               0.141        
   2384          0.169               0.125        
   2385          0.121               0.141        
   2386          0.143               0.125        
   2387          0.212               0.141        
   2388          0.148               0.141        
   2389          0.161               0.125        
   2390          0.126               0.141        
   2391          0.081               0.125        
   2392          0.149               0.141        
   2393          0.184               0.141        
   2394          0.263               0.125        
   2395          0.100               0.141        
   2396          0.074               0.125        
   2397          0.161               0.141        
   2398          0.177               0.125        
   2399          0.116               0.125        
   2400          0.164               0.141        
   2401          0.126               0.125        
   2402          0.114               0.141        
   2403          0.061               0.125        
   2404          0.203               0.125        
   2405          0.060               0.141        
   2406          0.151               0.125        
   2407          0.201               0.141        
   2408          0.175               0.125        
   2409          0.195               0.141        
   2410          0.158               0.141        
   2411          0.089               0.125        
   2412          0.157               0.141        
   2413          0.140               0.125        
   2414          0.097               0.141        
   2415          0.112               0.141        
   2416          0.183               0.125        
   2417          0.104               0.141        
   2418          0.203               0.125        
   2419          0.131               0.141        
   2420          0.098               0.141        
   2421          0.075               0.125        
   2422          0.077               0.141        
   2423          0.088               0.125        
   2424          0.139               0.141        
   2425          0.092               0.141        
   2426          0.129               0.125        
   2427          0.071               0.141        
   2428          0.072               0.125        
   2429          0.092               0.141        
   2430          0.162               0.141        
   2431          0.122               0.125        
   2432          0.097               0.141        
   2433          0.119               0.125        
   2434          0.110               0.141        
   2435          0.143               0.125        
   2436          0.105               0.125        
   2437          0.145               0.141        
   2438          0.194               0.125        
   2439          0.169               0.141        
   2440          0.122               0.141        
   2441          0.147               0.125        
   2442          0.076               0.141        
   2443          0.145               0.125        
   2444          0.109               0.141        
   2445          0.141               0.125        
   2446          0.205               0.125        
   2447          0.153               0.141        
   2448          0.130               0.125        
   2449          0.222               0.141        
   2450          0.221               0.125        
   2451          0.154               0.125        
   2452          0.105               0.141        
   2453          0.157               0.125        
   2454          0.049               0.141        
   2455          0.117               0.125        
   2456          0.129               0.141        
   2457          0.185               0.141        
   2458          0.108               0.125        
   2459          0.116               0.141        
   2460          0.112               0.125        
   2461          0.120               0.141        
   2462          0.058               0.141        
   2463          0.106               0.125        
   2464          0.119               0.141        
   2465          0.165               0.125        
   2466          0.086               0.141        
   2467          0.139               0.141        
   2468          0.065               0.125        
   2469          0.111               0.141        
   2470          0.109               0.125        
   2471          0.130               0.141        
   2472          0.151               0.141        
   2473          0.190               0.125        
   2474          0.169               0.141        
   2475          0.214               0.125        
   2476          0.063               0.141        
   2477          0.185               0.125        
   2478          0.241               0.125        
   2479          0.108               0.141        
   2480          0.154               0.125        
   2481          0.154               0.141        
   2482          0.101               0.125        
   2483          0.170               0.125        
   2484          0.185               0.141        
   2485          0.218               0.125        
   2486          0.250               0.141        
   2487          0.086               0.125        
   2488          0.122               0.141        
   2489          0.154               0.141        
   2490          0.111               0.125        
   2491          0.144               0.141        
   2492          0.142               0.125        
   2493          0.179               0.141        
   2494          0.048               0.141        
   2495          0.156               0.125        
   2496          0.123               0.141        
   2497          0.145               0.125        
   2498          0.114               0.141        
   2499          0.188               0.141        
   2500          0.248               0.125        
   2501          0.077               0.141        
   2502          0.151               0.125        
   2503          0.181               0.141        
   2504          0.183               0.141        
   2505          0.102               0.125        
   2506          0.254               0.141        
   2507          0.094               0.125        
   2508          0.120               0.141        
   2509          0.103               0.141        
   2510          0.074               0.125        
   2511          0.143               0.141        
   2512          0.174               0.125        
   2513          0.056               0.141        
   2514          0.200               0.125        
   2515          0.066               0.125        
   2516          0.073               0.141        
   2517          0.122               0.125        
   2518          0.174               0.141        
   2519          0.130               0.125        
   2520          0.176               0.125        
   2521          0.213               0.141        
   2522          0.116               0.125        
   2523          0.162               0.141        
   2524          0.163               0.125        
   2525          0.134               0.125        
   2526          0.152               0.141        
   2527          0.115               0.125        
   2528          0.129               0.141        
   2529          0.101               0.125        
   2530          0.091               0.141        
   2531          0.155               0.141        
   2532          0.138               0.125        
   2533          0.078               0.141        
   2534          0.082               0.125        
   2535          0.174               0.141        
   2536          0.135               0.141        
   2537          0.109               0.125        
   2538          0.076               0.141        
   2539          0.152               0.125        
   2540          0.094               0.141        
   2541          0.092               0.141        
   2542          0.159               0.125        
   2543          0.133               0.141        
   2544          0.085               0.125        
   2545          0.188               0.141        
   2546          0.190               0.141        
   2547          0.146               0.125        
   2548          0.120               0.141        
   2549          0.149               0.125        
   2550          0.120               0.141        
   2551          0.125               0.141        
   2552          0.131               0.125        
   2553          0.112               0.141        
   2554          0.183               0.125        
   2555          0.112               0.141        
   2556          0.148               0.141        
   2557          0.107               0.125        
   2558          0.157               0.141        
   2559          0.162               0.125        
   2560          0.130               0.141        
   2561          0.061               0.141        
   2562          0.156               0.125        
   2563          0.197               0.141        
   2564          0.070               0.125        
   2565          0.159               0.141        
   2566          0.134               0.141        
   2567          0.085               0.125        
   2568          0.096               0.141        
   2569          0.092               0.125        
   2570          0.244               0.141        
   2571          0.107               0.125        
   2572          0.105               0.125        
   2573          0.082               0.141        
   2574          0.189               0.125        
   2575          0.091               0.141        
   2576          0.152               0.125        
   2577          0.118               0.125        
   2578          0.167               0.141        
   2579          0.227               0.125        
   2580          0.086               0.141        
   2581          0.126               0.125        
   2582          0.175               0.141        
   2583          0.173               0.141        
   2584          0.102               0.125        
   2585          0.139               0.141        
   2586          0.226               0.125        
   2587          0.229               0.141        
   2588          0.183               0.141        
   2589          0.258               0.125        
   2590          0.083               0.141        
   2591          0.197               0.125        
   2592          0.244               0.141        
   2593          0.159               0.141        
   2594          0.132               0.125        
   2595          0.210               0.141        
   2596          0.177               0.125        
   2597          0.081               0.141        
   2598          0.124               0.141        
   2599          0.217               0.125        
   2600          0.190               0.141        
   2601          0.134               0.125        
   2602          0.158               0.141        
   2603          0.157               0.141        
   2604          0.085               0.125        
   2605          0.196               0.141        
   2606          0.218               0.125        
   2607          0.186               0.141        
   2608          0.225               0.141        
   2609          0.118               0.125        
   2610          0.080               0.141        
   2611          0.087               0.125        
   2612          0.087               0.141        
   2613          0.233               0.125        
   2614          0.133               0.125        
   2615          0.207               0.141        
   2616          0.201               0.125        
   2617          0.165               0.141        
   2618          0.127               0.125        
   2619          0.079               0.125        
   2620          0.061               0.141        
   2621          0.113               0.125        
   2622          0.219               0.141        
   2623          0.180               0.125        
   2624          0.199               0.125        
   2625          0.111               0.141        
   2626          0.139               0.125        
   2627          0.207               0.141        
   2628          0.111               0.125        
   2629          0.090               0.141        
   2630          0.140               0.125        
   2631          0.091               0.125        
   2632          0.126               0.141        
   2633          0.100               0.125        
   2634          0.075               0.141        
   2635          0.134               0.125        
   2636          0.178               0.141        
   2637          0.069               0.141        
   2638          0.100               0.125        
   2639          0.107               0.141        
   2640          0.119               0.125        
   2641          0.164               0.141        
   2642          0.134               0.141        
   2643          0.125               0.125        
   2644          0.127               0.141        
   2645          0.164               0.125        
   2646          0.118               0.141        
   2647          0.148               0.141        
   2648          0.118               0.125        
   2649          0.141               0.141        
   2650          0.103               0.125        
   2651          0.049               0.141        
   2652          0.151               0.141        
   2653          0.126               0.125        
   2654          0.087               0.141        
   2655          0.147               0.125        
   2656          0.118               0.141        
   2657          0.092               0.141        
   2658          0.078               0.125        
   2659          0.114               0.141        
   2660          0.150               0.125        
   2661          0.105               0.141        
   2662          0.157               0.141        
   2663          0.102               0.125        
   2664          0.106               0.141        
   2665          0.154               0.125        
   2666          0.097               0.141        
   2667          0.163               0.125        
   2668          0.117               0.125        
   2669          0.123               0.141        
   2670          0.084               0.125        
   2671          0.069               0.141        
   2672          0.087               0.125        
   2673          0.208               0.125        
   2674          0.065               0.141        
   2675          0.160               0.125        
   2676          0.103               0.141        
   2677          0.148               0.125        
   2678          0.055               0.125        
   2679          0.131               0.141        
   2680          0.089               0.125        
   2681          0.083               0.141        
   2682          0.099               0.125        
   2683          0.171               0.141        
   2684          0.196               0.141        
   2685          0.169               0.125        
   2686          0.120               0.141        
   2687          0.192               0.125        
   2688          0.144               0.141        
   2689          0.092               0.141        
   2690          0.111               0.125        
   2691          0.121               0.141        
   2692          0.131               0.125        
   2693          0.083               0.141        
   2694          0.113               0.141        
   2695          0.072               0.125        
   2696          0.119               0.141        
   2697          0.147               0.125        
   2698          0.087               0.141        
   2699          0.115               0.141        
   2700          0.089               0.125        
   2701          0.057               0.141        
